19.98	-1.4866e-07
19.96	-7.7361e-08
19.94	-6.03267e-08
19.92	-5.22506e-08
19.9	-4.74967e-08
19.88	-4.43909e-08
19.86	-4.22384e-08
19.84	-4.06966e-08
19.82	-3.95718e-08
19.8	-3.87489e-08
19.78	-3.81528e-08
19.76	-3.77323e-08
19.74	-3.7452e-08
19.72	-3.72875e-08
19.7	-3.72161e-08
19.68	-3.72292e-08
19.66	-3.73097e-08
19.64	-3.74513e-08
19.62	-3.76463e-08
19.6	-3.78905e-08
19.58	-3.81785e-08
19.56	-3.85053e-08
19.54	-3.88696e-08
19.52	-3.92665e-08
19.5	-3.96981e-08
19.48	-4.01595e-08
19.46	-4.06508e-08
19.44	-4.11685e-08
19.42	-4.17118e-08
19.4	-4.22828e-08
19.38	-4.28796e-08
19.36	-4.34992e-08
19.34	-4.41432e-08
19.32	-4.48114e-08
19.3	-4.55018e-08
19.28	-4.62165e-08
19.26	-4.69541e-08
19.24	-4.77139e-08
19.22	-4.84973e-08
19.2	-4.93022e-08
19.18	-5.01307e-08
19.16	-5.09835e-08
19.14	-5.18578e-08
19.12	-5.2755e-08
19.1	-5.36751e-08
19.08	-5.46202e-08
19.06	-5.55861e-08
19.04	-5.6579e-08
19.02	-5.75949e-08
19	-5.8635e-08
18.98	-5.96995e-08
18.96	-6.07903e-08
18.94	-6.1904e-08
18.92	-6.30461e-08
18.9	-6.42132e-08
18.88	-6.5406e-08
18.86	-6.66273e-08
18.84	-6.78763e-08
18.82	-6.91509e-08
18.8	-7.04554e-08
18.78	-7.17884e-08
18.76	-7.31477e-08
18.74	-7.45397e-08
18.72	-7.59615e-08
18.7	-7.74138e-08
18.68	-7.88959e-08
18.66	-8.04121e-08
18.64	-8.19587e-08
18.62	-8.35387e-08
18.6	-8.51541e-08
18.58	-8.68014e-08
18.56	-8.84855e-08
18.54	-9.02042e-08
18.52	-9.19584e-08
18.5	-9.37493e-08
18.48	-9.55784e-08
18.46	-9.74457e-08
18.44	-9.93511e-08
18.42	-1.01298e-07
18.4	-1.03283e-07
18.38	-1.05312e-07
18.36	-1.07381e-07
18.34	-1.09493e-07
18.32	-1.1165e-07
18.3	-1.13851e-07
18.28	-1.16097e-07
18.26	-1.18389e-07
18.24	-1.20729e-07
18.22	-1.23117e-07
18.2	-1.25553e-07
18.18	-1.28041e-07
18.16	-1.30579e-07
18.14	-1.33168e-07
18.12	-1.35812e-07
18.1	-1.38509e-07
18.08	-1.41262e-07
18.06	-1.44071e-07
18.04	-1.46937e-07
18.02	-1.49861e-07
18	-1.52846e-07
17.98	-1.55893e-07
17.96	-1.59001e-07
17.94	-1.62172e-07
17.92	-1.65408e-07
17.9	-1.68709e-07
17.88	-1.72078e-07
17.86	-1.75517e-07
17.84	-1.79023e-07
17.82	-1.82603e-07
17.8	-1.86255e-07
17.78	-1.89982e-07
17.76	-1.93783e-07
17.74	-1.97663e-07
17.72	-2.01621e-07
17.7	-2.05659e-07
17.68	-2.09781e-07
17.66	-2.13984e-07
17.64	-2.18274e-07
17.62	-2.22651e-07
17.6	-2.27116e-07
17.58	-2.31672e-07
17.56	-2.36321e-07
17.54	-2.41064e-07
17.52	-2.45903e-07
17.5	-2.5084e-07
17.48	-2.55879e-07
17.46	-2.61018e-07
17.44	-2.66261e-07
17.42	-2.71611e-07
17.4	-2.77068e-07
17.38	-2.82638e-07
17.36	-2.88319e-07
17.34	-2.94116e-07
17.32	-3.00031e-07
17.3	-3.06065e-07
17.28	-3.12221e-07
17.26	-3.18503e-07
17.24	-3.2491e-07
17.22	-3.31447e-07
17.2	-3.38118e-07
17.18	-3.44923e-07
17.16	-3.51867e-07
17.14	-3.5895e-07
17.12	-3.66178e-07
17.1	-3.7355e-07
17.08	-3.81073e-07
17.06	-3.88747e-07
17.04	-3.96577e-07
17.02	-4.04565e-07
17	-4.12714e-07
