#Δx #rel_error #time_consumption
0.16384 0.0903503 0.039746
0.32768 0.288592 0.02655
0.65536 0.552158 0.023856
1.31072 0.754735 0.03721
0.01024 0.0145531 0.16121
0.02048 0.00731439 0.142877
0.04096 0.00591396 0.072496
0.08192 0.0191306 0.036677
0.00064 0.199813 2.03532
0.00128 0.111685 1.21724
0.00256 0.0582422 0.553256
0.00512 0.029413 0.275845
2e-05 8.86445 67.9697
4e-05 3.61707 31.6033
8e-05 1.0068 15.3184
0.00016 0.262917 7.71525
0.00032 0.30941 3.80229
