#k  alpha  peak_neg  peak_pos  theta_neg  theta_pos  peak_separation54.5982 -2 -3.73871 1.32295 -0.76 1.86 2.62
0.000335463 -1.58 -0.0790769 0.0311691 3.9 5.68 1.78
1 -1.58 -1.39301 0.55673 0.74 2.76 2.02
0.0183156 -1.58 -0.356037 0.141538 2.34 4.16 1.82
54.5982 -1.58 -3.52505 1.46649 -1 1.78 2.78
0.000335463 -1.56 -0.0763754 0.0303703 3.92 5.72 1.8
1 -1.56 -1.37968 0.556232 0.74 2.76 2.02
0.0183156 -1.56 -0.348293 0.139687 2.36 4.18 1.82
54.5982 -1.56 -3.51431 1.47507 -1.02 1.76 2.78
0.000335463 -1.54 -0.0737489 0.0295825 3.96 5.74 1.78
1 -1.54 -1.36636 0.555749 0.74 2.78 2.04
0.0183156 -1.54 -0.340611 0.137834 2.36 4.2 1.84
54.5982 -1.54 -3.50339 1.48389 -1.02 1.76 2.78
1 -1.52 -1.35305 0.555293 0.74 2.78 2.04
0.000335463 -1.52 -0.0711726 0.0288022 3.98 5.76 1.78
54.5982 -1.52 -3.49287 1.4929 -1.04 1.76 2.8
0.0183156 -1.52 -0.333057 0.13598 2.38 4.22 1.84
1 -1.5 -1.33974 0.554851 0.74 2.78 2.04
0.000335463 -1.5 -0.0686451 0.0280341 4 5.8 1.8
54.5982 -1.5 -3.48215 1.5021 -1.06 1.76 2.82
0.0183156 -1.5 -0.325523 0.13413 2.4 4.22 1.82
1 -1.48 -1.32645 0.554424 0.74 2.78 2.04
0.000335463 -1.48 -0.066176 0.0272735 4.04 5.82 1.78
54.5982 -1.48 -3.47126 1.51153 -1.08 1.74 2.82
0.0183156 -1.48 -0.318072 0.132282 2.4 4.24 1.84
1 -1.46 -1.31316 0.554011 0.74 2.78 2.04
0.000335463 -1.46 -0.0637706 0.0265249 4.06 5.86 1.8
54.5982 -1.46 -3.46024 1.52121 -1.1 1.74 2.84
0.0183156 -1.46 -0.310732 0.130433 2.42 4.26 1.84
1 -1.44 -1.29989 0.553614 0.74 2.78 2.04
0.000335463 -1.44 -0.0614117 0.0257846 4.08 5.9 1.82
54.5982 -1.44 -3.4491 1.5311 -1.12 1.74 2.86
0.0183156 -1.44 -0.303426 0.128585 2.44 4.28 1.84
0.000335463 -1.42 -0.0591091 0.0250558 4.12 5.92 1.8
54.5982 -1.42 -3.43788 1.54122 -1.14 1.74 2.88
1 -1.42 -1.28663 0.553234 0.74 2.78 2.04
0.0183156 -1.42 -0.296199 0.126737 2.44 4.3 1.86
0.000335463 -1.4 -0.0568679 0.0243364 4.14 5.96 1.82
54.5982 -1.4 -3.42666 1.55163 -1.14 1.72 2.86
1 -1.4 -1.27338 0.552874 0.74 2.8 2.06
0.0183156 -1.4 -0.289088 0.124891 2.46 4.32 1.86
54.5982 -1.38 -3.41541 1.56229 -1.16 1.72 2.88
1 -1.38 -1.26062 0.552552 1.28 2.8 1.52
0.000335463 -1.38 -0.0546714 0.0236271 4.16 5.98 1.82
0.0183156 -1.38 -0.282023 0.123046 2.48 4.34 1.86
1 -1.36 -1.25122 0.552252 1.28 2.8 1.52
0.000335463 -1.36 -0.0525383 0.0229292 4.2 6.02 1.82
54.5982 -1.36 -3.40402 1.57319 -1.18 1.72 2.9
0.0183156 -1.36 -0.275654 0.121205 2.92 4.34 1.42
1 -1.34 -1.24178 0.551972 1.28 2.8 1.52
0.000335463 -1.34 -0.0505313 0.022241 4.64 6.06 1.42
54.5982 -1.34 -3.40155 1.58439 -0.22 1.7 1.92
0.0183156 -1.34 -0.269442 0.119367 2.94 4.36 1.42
