#k  alpha sigma peak_neg peak_pos  theta_neg  theta_pos  peak_separation
0.0183156 -1.6 4.53999e-05 -0.00212545 0.000863829 -0.66 1.9 2.56
0.000335463 -1.6 4.53999e-05 -0.000763678 0.000302357 1.02 2.98 1.96
1 -1.6 0.000335463 -0.00814853 0.00366232 -2.12 1.48 3.6
54.5982 -1.6 0.000335463 -0.00857331 0.00484635 -4.38 1.26 5.64
0.0183156 -1.6 0.000335463 -0.00472817 0.0018951 -0.22 2.12 2.34
0.000335463 -1.6 0.000335463 -0.0014965 0.000591724 1.42 3.32 1.9
1 -1.6 0.00247875 -0.0205678 0.00884597 -1.6 1.6 3.2
54.5982 -1.6 0.00247875 -0.0235247 0.0125392 -3.8 1.3 5.1
0.000335463 -1.6 0.00247875 -0.00288423 0.00113922 1.82 3.68 1.86
0.0183156 -1.6 0.00247875 -0.0100959 0.004018 0.2 2.38 2.18
1 -1.6 0.0183156 -0.0499336 0.0207595 -1.12 1.74 2.86
54.5982 -1.6 0.0183156 -0.0638889 0.0320733 -3.22 1.34 4.56
0.0183156 -1.6 0.0183156 -0.0208145 0.00825329 0.62 2.66 2.04
0.000335463 -1.6 0.0183156 -0.00549226 0.00216611 2.22 4.04 1.82
1 -1.6 0.135335 -0.116056 0.0471588 -0.66 1.9 2.56
54.5982 -1.6 0.135335 -0.170635 0.0808453 -2.66 1.4 4.06
0.0183156 -1.6 0.135335 -0.0416981 0.0165064 1.02 2.98 1.96
0.000335463 -1.6 0.135335 -0.0103713 0.00408268 2.6 4.4 1.8
1 -1.6 1 -0.258152 0.103469 -0.22 2.12 2.34
54.5982 -1.6 1 -0.444895 0.199956 -2.12 1.48 3.6
0.0183156 -1.6 1 -0.0817077 0.0323072 1.42 3.32 1.9
0.000335463 -1.6 1 -0.019462 0.0076473 2.98 4.78 1.8
1 -1.6 7.38906 -0.551235 0.219377 0.2 2.38 2.18
54.5982 -1.6 7.38906 -1.12297 0.482973 -1.6 1.6 3.2
0.0183156 -1.6 7.38906 -0.157481 0.0621999 1.82 3.68 1.86
0.000335463 -1.6 7.38906 -0.0363796 0.014263 3.38 5.16 1.78
1 -1.6 54.5982 -1.13654 0.450625 0.62 2.66 2.04
54.5982 -1.6 54.5982 -2.72635 1.13343 -1.12 1.72 2.84
0.0183156 -1.6 54.5982 -0.299903 0.11827 2.22 4.04 1.82
0.000335463 -1.6 54.5982 -0.0678047 0.0265168 3.76 5.54 1.78
1 -1.6 403.429 -2.27734 0.901289 1.02 2.98 1.96
54.5982 -1.6 403.429 -6.33712 2.57484 -0.66 1.9 2.56
1 -1.6 2980.96 -4.46506 1.76432 1.42 3.32 1.9
0.0183156 -1.6 403.429 -0.56646 0.22293 2.6 4.4 1.8
0.000335463 -1.6 403.429 -0.126122 0.0492035 4.14 5.92 1.78
54.5982 -1.6 2980.96 -14.1008 5.64977 -0.22 2.12 2.34
0.0183156 -1.6 2980.96 -1.06372 0.417651 2.98 4.78 1.8
0.000335463 -1.6 2980.96 -0.234415 0.0911827 4.54 6.3 1.76
1 -1.4 4.53999e-05 -0.00295347 0.00157218 -3.04 1.36 4.4
54.5982 -1.4 4.53999e-05 -0.00300385 0.00194125 -1.1 1.22 2.32
0.0183156 -1.4 4.53999e-05 -0.00205369 0.000914603 -0.8 1.86 2.66
0.000335463 -1.4 4.53999e-05 -0.000677038 0.000293858 1.04 3.04 2
1 -1.4 0.000335463 -0.00779207 0.00390168 -2.42 1.44 3.86
54.5982 -1.4 0.000335463 -0.00815747 0.00508325 -1.1 1.24 2.34
0.0183156 -1.4 0.000335463 -0.0045155 0.0019813 -0.3 2.1 2.4
0.000335463 -1.4 0.000335463 -0.0012849 0.000557028 1.48 3.4 1.92
1 -1.4 0.00247875 -0.0198542 0.00944058 -1.84 1.54 3.38
54.5982 -1.4 0.00247875 -0.0221171 0.0132027 -1.08 1.26 2.34
0.0183156 -1.4 0.00247875 -0.00945796 0.00412134 0.16 2.36 2.2
0.000335463 -1.4 0.00247875 -0.00239469 0.00103723 1.9 3.8 1.9
1 -1.4 0.0183156 -0.048404 0.0221216 -1.3 1.68 2.98
54.5982 -1.4 0.0183156 -0.0597224 0.0339109 -1.04 1.3 2.34
0.0183156 -1.4 0.0183156 -0.0190078 0.00825831 0.6 2.68 2.08
0.000335463 -1.4 0.0183156 -0.00440912 0.00190622 2.34 4.2 1.86
1 -1.4 0.135335 -0.112138 0.0499307 -0.8 1.86 2.66
54.5982 -1.4 0.135335 -0.161277 0.0858313 -3.04 1.36 4.4
0.0183156 -1.4 0.135335 -0.0369674 0.0160424 1.04 3.04 2
0.000335463 -1.4 0.135335 -0.00804781 0.00347247 2.76 4.6 1.84
1 -1.4 1 -0.24654 0.108176 -0.3 2.1 2.4
54.5982 -1.4 1 -0.425432 0.213025 -2.42 1.44 3.86
0.0183156 -1.4 1 -0.0701546 0.0304128 1.48 3.4 1.92
0.000335463 -1.4 1 -0.0146039 0.00628702 3.18 5 1.82
1 -1.4 7.38906 -0.516404 0.225019 0.16 2.36 2.2
0.0183156 -1.4 7.38906 -0.130753 0.0566317 1.9 3.8 1.9
54.5982 -1.4 7.38906 -1.084 0.515438 -1.84 1.54 3.38
0.000335463 -1.4 7.38906 -0.0263962 0.0113374 3.6 5.42 1.82
1 -1.4 54.5982 -1.03791 0.450898 0.6 2.68 2.08
0.0183156 -1.4 54.5982 -0.240762 0.104079 2.34 4.2 1.86
54.5982 -1.4 54.5982 -2.64283 1.2078 -1.3 1.68 2.98
0.000335463 -1.4 54.5982 -0.0475923 0.0203844 4.02 5.82 1.8
1 -1.4 403.429 -2.01905 0.875945 1.04 3.04 2
1 -1.4 2980.96 -3.83395 1.66084 1.48 3.4 1.92
0.0183156 -1.4 403.429 -0.439559 0.189609 2.76 4.6 1.84
54.5982 -1.4 403.429 -6.12336 2.72617 -0.8 1.86 2.66
0.000335463 -1.4 403.429 -0.0856663 0.0365923 4.44 6.24 1.8
0.0183156 -1.4 2980.96 -0.798161 0.343353 3.18 5 1.82
54.5982 -1.4 2980.96 -13.4678 5.90669 -0.32 2.1 2.42
0.000335463 -1.4 2980.96 -0.154102 0.0656161 4.84 6.66 1.82
1 -1.2 4.53999e-05 -0.00294206 0.00167838 -1 1.32 2.32
0.0183156 -1.2 4.53999e-05 -0.00205123 0.000980994 -0.04 1.8 1.84
54.5982 -1.2 4.53999e-05 -0.00300428 0.00203334 -1.12 1.2 2.32
0.000335463 -1.2 4.53999e-05 -0.000608654 0.000285634 1.6 3.1 1.5
1 -1.2 0.000335463 -0.00776188 0.0041874 -0.86 1.38 2.24
0.0183156 -1.2 0.000335463 -0.00444827 0.00209766 0.34 2.04 1.7
54.5982 -1.2 0.000335463 -0.00816049 0.00534539 -1.1 1.22 2.32
0.000335463 -1.2 0.000335463 -0.00111027 0.000521243 2.04 3.5 1.46
1 -1.2 0.00247875 -0.0198605 0.0101717 -0.66 1.48 2.14
54.5982 -1.2 0.00247875 -0.0221387 0.0139465 -1.1 1.24 2.34
0.0183156 -1.2 0.00247875 -0.00909989 0.00427022 0.74 2.36 1.62
0.000335463 -1.2 0.00247875 -0.00198707 0.000932911 2.48 3.94 1.46
1 -1.2 0.0183156 -0.0485401 0.0238493 -0.36 1.62 1.98
54.5982 -1.2 0.0183156 -0.0598675 0.0360041 -1.06 1.26 2.32
0.0183156 -1.2 0.0183156 -0.0177233 0.0083103 1.16 2.7 1.54
0.000335463 -1.2 0.0183156 -0.00351085 0.00164696 2.92 4.38 1.46
1 -1.2 0.135335 -0.111994 0.0535552 -0.04 1.8 1.84
54.5982 -1.2 0.135335 -0.160631 0.0916292 -1 1.32 2.32
0.0183156 -1.2 0.135335 -0.0332315 0.0155934 1.6 3.1 1.5
0.000335463 -1.2 0.135335 -0.00615098 0.00288198 3.38 4.82 1.44
1 -1.2 1 -0.242869 0.114529 0.34 2.04 1.7
54.5982 -1.2 1 -0.423785 0.228624 -0.86 1.38 2.24
0.0183156 -1.2 1 -0.0606198 0.028459 2.04 3.5 1.46
0.000335463 -1.2 1 -0.0107173 0.00501357 3.82 5.26 1.44
1 -1.2 7.38906 -0.496852 0.233147 0.74 2.36 1.62
0.0183156 -1.2 7.38906 -0.108495 0.0509357 2.48 3.94 1.46
54.5982 -1.2 7.38906 -1.08435 0.555353 -0.66 1.48 2.14
0.000335463 -1.2 7.38906 -0.0186086 0.00869046 4.28 5.72 1.44
1 -1.2 54.5982 -0.96775 0.453735 1.16 2.7 1.54
0.0183156 -1.2 54.5982 -0.191709 0.0899234 2.92 4.38 1.46
54.5982 -1.2 54.5982 -2.65028 1.30213 -0.36 1.62 1.98
0.000335463 -1.2 54.5982 -0.0322375 0.0150243 4.74 6.18 1.44
1 -1.2 403.429 -1.8149 0.85142 1.6 3.1 1.5
54.5982 -1.2 403.429 -6.11543 2.92404 -0.04 1.8 1.84
0.0183156 -1.2 403.429 -0.335946 0.157364 3.38 4.82 1.44
1 -1.2 2980.96 -3.31252 1.5541 2.04 3.5 1.46
0.000335463 -1.2 403.429 -0.0557753 0.0259396 5.18 6.62 1.44
54.5982 -1.2 2980.96 -13.2666 6.25346 0.34 2.04 1.7
0.0183156 -1.2 2980.96 -0.585689 0.273797 3.82 5.26 1.44
0.000335463 -1.2 2980.96 -0.0964516 0.0447478 5.64 7.08 1.44
1 -1 4.53999e-05 -0.00295593 0.0018024 -1.04 1.26 2.3
54.5982 -1 4.53999e-05 -0.00300461 0.00213431 -1.12 1.18 2.3
0.0183156 -1 4.53999e-05 -0.00207716 0.00107045 -0.14 1.74 1.88
0.000335463 -1 4.53999e-05 -0.000540328 0.000278251 1.62 3.18 1.56
1 -1 0.000335463 -0.00783644 0.00453085 -0.92 1.32 2.24
54.5982 -1 0.000335463 -0.00816283 0.00563617 -1.1 1.18 2.28
0.0183156 -1 0.000335463 -0.00442477 0.00226037 0.26 2 1.74
0.000335463 -1 0.000335463 -0.000939889 0.000485004 2.1 3.64 1.54
1 -1 0.00247875 -0.0201704 0.0110825 -0.74 1.4 2.14
54.5982 -1 0.00247875 -0.0221559 0.0147821 -1.1 1.2 2.3
0.0183156 -1 0.00247875 -0.008785 0.00449082 0.7 2.34 1.64
0.000335463 -1 0.00247875 -0.00160259 0.000827583 2.6 4.12 1.52
1 -1 0.0183156 -0.0494371 0.02609 -0.48 1.54 2.02
54.5982 -1 0.0183156 -0.0599866 0.0383951 -1.08 1.22 2.3
0.0183156 -1 0.0183156 -0.0164533 0.008442 1.16 2.74 1.58
0.000335463 -1 0.0183156 -0.00269766 0.00139237 3.1 4.6 1.5
1 -1 0.135335 -0.113409 0.058439 -0.14 1.74 1.88
0.0183156 -1 0.135335 -0.0295011 0.0151903 1.62 3.18 1.56
54.5982 -1 0.135335 -0.161388 0.0984008 -1.04 1.26 2.3
0.000335463 -1 0.135335 -0.00450491 0.00232222 3.58 5.1 1.52
1 -1 1 -0.241586 0.123412 0.26 2 1.74
0.0183156 -1 1 -0.0513171 0.0264804 2.1 3.64 1.54
54.5982 -1 1 -0.427856 0.247376 -0.92 1.32 2.24
0.000335463 -1 1 -0.0074857 0.00385225 4.08 5.58 1.5
1 -1 7.38906 -0.47966 0.245191 0.7 2.34 1.64
0.0183156 -1 7.38906 -0.0875024 0.0451849 2.6 4.12 1.52
54.5982 -1 7.38906 -1.10127 0.605085 -0.74 1.4 2.14
0.000335463 -1 7.38906 -0.0124011 0.00636978 4.58 6.08 1.5
1 -1 54.5982 -0.898412 0.460923 1.16 2.74 1.58
0.0183156 -1 54.5982 -0.147307 0.0760227 3.1 4.6 1.5
54.5982 -1 54.5982 -2.69925 1.42446 -0.48 1.54 2.02
1 -1 403.429 -1.61121 0.8294 1.62 3.18 1.56
0.000335463 -1 54.5982 -0.0205071 0.0105094 5.08 6.58 1.5
1 -1 2980.96 -2.80438 1.44599 2.1 3.64 1.54
0.0183156 -1 403.429 -0.24605 0.126797 3.58 5.1 1.52
54.5982 -1 403.429 -6.19276 3.19066 -0.14 1.74 1.88
0.000335463 -1 403.429 -0.0338781 0.0173207 5.58 7.08 1.5
54.5982 -1 2980.96 -13.1969 6.73826 0.26 2 1.74
0.0183156 -1 2980.96 -0.409117 0.210367 4.08 5.58 1.5
0.000335463 -1 2980.96 -0.055952 0.0285289 6.08 7.58 1.5
1 -0.8 4.53999e-05 -0.00296769 0.00194777 -1.06 1.22 2.28
0.0183156 -0.8 4.53999e-05 -0.00211775 0.00119554 -0.26 1.66 1.92
54.5982 -0.8 4.53999e-05 -0.00300486 0.002244 -1.12 1.14 2.26
0.000335463 -0.8 4.53999e-05 -0.000471747 0.000272924 1.64 3.26 1.62
1 -0.8 0.000335463 -0.00790616 0.00494643 -1 1.26 2.26
0.0183156 -0.8 0.000335463 -0.00442893 0.00249856 0.14 1.94 1.8
54.5982 -0.8 0.000335463 -0.00816468 0.00595746 -1.12 1.16 2.28
0.000335463 -0.8 0.000335463 -0.000774417 0.000449653 2.18 3.78 1.6
1 -0.8 0.00247875 -0.0205008 0.0122323 -0.84 1.34 2.18
0.0183156 -0.8 0.00247875 -0.00849285 0.00483291 0.62 2.32 1.7
54.5982 -0.8 0.00247875 -0.0221693 0.0157206 -1.1 1.18 2.28
0.000335463 -0.8 0.00247875 -0.00124499 0.000723854 2.72 4.32 1.6
1 -0.8 0.0183156 -0.050551 0.029064 -0.6 1.46 2.06
0.0183156 -0.8 0.0183156 -0.0151716 0.00871584 1.12 2.78 1.66
54.5982 -0.8 0.0183156 -0.060082 0.0411322 -1.1 1.2 2.3
0.000335463 -0.8 0.0183156 -0.0019764 0.00114847 3.26 4.88 1.62
1 -0.8 0.135335 -0.115625 0.0652682 -0.26 1.66 1.92
0.0183156 -0.8 0.135335 -0.0257567 0.0148995 1.64 3.26 1.62
54.5982 -0.8 0.135335 -0.16203 0.106338 -1.06 1.22 2.28
0.000335463 -0.8 0.135335 -0.00311427 0.00180716 3.82 5.42 1.6
1 -0.8 1 -0.241814 0.136417 0.14 1.94 1.8
0.0183156 -0.8 1 -0.0422825 0.0245502 2.18 3.78 1.6
54.5982 -0.8 1 -0.431662 0.270066 -1 1.26 2.26
0.000335463 -0.8 1 -0.00488588 0.0028296 4.38 5.98 1.6
1 -0.8 7.38906 -0.46371 0.263868 0.62 2.32 1.7
0.0183156 -0.8 7.38906 -0.0679777 0.0395213 2.72 4.32 1.6
54.5982 -0.8 7.38906 -1.11931 0.667858 -0.84 1.34 2.18
0.000335463 -0.8 7.38906 -0.00764662 0.00441847 4.92 6.52 1.6
1 -0.8 54.5982 -0.828437 0.475871 1.12 2.78 1.66
0.0183156 -0.8 54.5982 -0.107923 0.0627055 3.26 4.88 1.62
54.5982 -0.8 54.5982 -2.76007 1.58683 -0.6 1.46 2.06
0.000335463 -0.8 54.5982 -0.0119505 0.00688763 5.48 7.08 1.6
1 -0.8 403.429 -1.40675 0.813503 1.64 3.26 1.62
0.0183156 -0.8 403.429 -0.170101 0.0986726 3.82 5.42 1.6
