#k  alpha sigma peak_neg peak_pos  theta_neg  theta_pos  peak_separation
0.0183156 1.8 2980.96 -36.0502 0.0176607 -5.04 -0.64 4.4
54.5982 1.8 2980.96 -28.1781 9.87896 -1.14 0.06 1.2
0.000335463 1.8 2980.96 -36.1973 0.00519189 -7.26 -1.12 6.14
2.71828 -2 4.53999e-05 -0.00350139 0.00144532 -2.56 1.42 3.98
0.0497871 -2 4.53999e-05 -0.00262382 0.000934728 -0.86 1.82 2.68
148.413 -2 4.53999e-05 -0.0035342 0.00177869 -4.46 1.26 5.72
0.000911882 -2 4.53999e-05 -0.00121555 0.000414244 0.62 2.64 2.02
2.71828 -2 0.000335463 -0.00919603 0.00362468 -2.12 1.5 3.62
0.0497871 -2 0.000335463 -0.00616176 0.00215311 -0.48 1.98 2.46
148.413 -2 0.000335463 -0.00969999 0.00464855 -3.96 1.3 5.26
0.000911882 -2 0.000335463 -0.00255312 0.000867419 0.96 2.9 1.94
2.71828 -2 0.00247875 -0.0236219 0.00893928 -1.68 1.58 3.26
0.0497871 -2 0.00247875 -0.0140055 0.00483374 -0.1 2.18 2.28
148.413 -2 0.00247875 -0.0264583 0.012064 -3.48 1.32 4.8
0.000911882 -2 0.00247875 -0.0052647 0.00178558 1.32 3.2 1.88
2.71828 -2 0.0183156 -0.0590717 0.0216034 -1.26 1.68 2.94
0.0497871 -2 0.0183156 -0.030901 0.0105781 0.26 2.4 2.14
148.413 -2 0.0183156 -0.0715717 0.031025 -3.02 1.38 4.4
0.000911882 -2 0.0183156 -0.0107044 0.00362383 1.66 3.48 1.82
2.71828 -2 0.135335 -0.143268 0.0510295 -0.86 1.82 2.68
0.0497871 -2 0.135335 -0.0663711 0.0226146 0.62 2.64 2.02
148.413 -2 0.135335 -0.191193 0.0789051 -2.56 1.42 3.98
0.000911882 -2 0.135335 -0.0215233 0.0072752 2 3.8 1.8
2.71828 -2 1 -0.336422 0.117556 -0.48 1.98 2.46
0.0497871 -2 1 -0.139398 0.0473596 0.96 2.9 1.94
2.71828 -2 7.38906 -0.764686 0.263915 -0.1 2.18 2.28
148.413 -2 1 -0.502085 0.197901 -2.12 1.5 3.62
0.000911882 -2 1 -0.0429171 0.014483 2.34 4.1 1.76
2.71828 -2 54.5982 -1.68724 0.577555 0.26 2.4 2.14
0.0497871 -2 7.38906 -0.287452 0.0974906 1.32 3.2 1.88
148.413 -2 7.38906 -1.28971 0.488067 -1.68 1.58 3.26
0.000911882 -2 7.38906 -0.0850407 0.0286544 2.68 4.42 1.74
2.71828 -2 403.429 -3.62443 1.2348 0.62 2.64 2.02
0.0497871 -2 54.5982 -0.584497 0.197862 1.66 3.48 1.82
2.71828 -2 2980.96 -7.61615 2.58629 0.96 2.9 1.94
148.413 -2 54.5982 -3.22521 1.17951 -1.26 1.68 2.94
0.000911882 -2 54.5982 -0.167781 0.0564182 3 4.76 1.76
0.0497871 -2 403.429 -1.17546 0.397253 2 3.8 1.8
148.413 -2 403.429 -7.82251 2.78614 -0.88 1.82 2.7
0.000911882 -2 403.429 -0.329998 0.11072 3.34 5.08 1.74
0.0497871 -2 2980.96 -2.34497 0.790981 2.34 4.1 1.76
148.413 -2 2980.96 -18.3724 6.41872 -0.48 1.98 2.46
0.000911882 -2 2980.96 -0.647619 0.216765 3.68 5.4 1.72
2.71828 -1.8 4.53999e-05 -0.00335466 0.00151642 -2.84 1.38 4.22
0.0497871 -1.8 4.53999e-05 -0.0025566 0.000979217 -0.98 1.78 2.76
148.413 -1.8 4.53999e-05 -0.00330137 0.00184728 -4.96 1.24 6.2
0.000911882 -1.8 4.53999e-05 -0.00112615 0.000412154 0.62 2.66 2.04
2.71828 -1.8 0.000335463 -0.00887691 0.00381066 -2.36 1.44 3.8
0.0497871 -1.8 0.000335463 -0.00597073 0.00223971 -0.56 1.94 2.5
148.413 -1.8 0.000335463 -0.00910676 0.00483944 -4.42 1.26 5.68
0.000911882 -1.8 0.000335463 -0.00231409 0.000844871 1 2.94 1.94
2.71828 -1.8 0.00247875 -0.0229437 0.00940671 -1.88 1.54 3.42
0.0497871 -1.8 0.00247875 -0.0134302 0.00497313 -0.16 2.16 2.32
0.000911882 -1.8 0.00247875 -0.00466005 0.00169915 1.36 3.26 1.9
148.413 -1.8 0.00247875 -0.0249882 0.0125923 -3.88 1.3 5.18
2.71828 -1.8 0.0183156 -0.0575858 0.0227131 -1.42 1.64 3.06
0.0497871 -1.8 0.0183156 -0.0291779 0.0107213 0.24 2.38 2.14
0.000911882 -1.8 0.0183156 -0.00924315 0.00336503 1.74 3.58 1.84
148.413 -1.8 0.0183156 -0.0680634 0.0324701 -3.36 1.34 4.7
2.71828 -1.8 0.135335 -0.139598 0.0534583 -0.98 1.78 2.76
0.0497871 -1.8 0.135335 -0.0614899 0.0225005 0.62 2.66 2.04
0.000911882 -1.8 0.135335 -0.0181229 0.00658774 2.1 3.9 1.8
148.413 -1.8 0.135335 -0.183183 0.0827871 -2.84 1.38 4.22
2.71828 -1.8 1 -0.325992 0.122284 -0.56 1.94 2.5
2.71828 -1.8 7.38906 -0.733283 0.271525 -0.16 2.16 2.32
0.000911882 -1.8 1 -0.0352321 0.0127859 2.46 4.24 1.78
0.0497871 -1.8 1 -0.126346 0.0461286 1 2.94 1.94
148.413 -1.8 1 -0.484662 0.208055 -2.36 1.44 3.8
2.71828 -1.8 54.5982 -1.59317 0.585373 0.24 2.38 2.14
0.0497871 -1.8 7.38906 -0.254441 0.0927718 1.36 3.26 1.9
0.000911882 -1.8 7.38906 -0.0680727 0.0246619 2.82 4.6 1.78
148.413 -1.8 7.38906 -1.25268 0.513588 -1.88 1.54 3.42
2.71828 -1.8 403.429 -3.35801 1.22857 0.62 2.66 2.04
2.71828 -1.8 2980.96 -6.90296 2.51907 1 2.94 1.94
0.0497871 -1.8 54.5982 -0.504713 0.183731 1.74 3.58 1.84
0.000911882 -1.8 54.5982 -0.130969 0.0473448 3.18 4.94 1.76
148.413 -1.8 54.5982 -3.1441 1.24009 -1.42 1.64 3.06
0.0497871 -1.8 403.429 -0.98979 0.359715 2.1 3.9 1.8
0.000911882 -1.8 403.429 -0.251215 0.0906057 3.54 5.3 1.76
148.413 -1.8 403.429 -7.62222 2.91875 -0.98 1.78 2.76
0.0497871 -1.8 2980.96 -1.92534 0.698292 2.46 4.24 1.78
0.000911882 -1.8 2980.96 -0.480969 0.173024 3.9 5.64 1.74
148.413 -1.8 2980.96 -17.8034 6.67689 -0.56 1.94 2.5
2.71828 -1.6 4.53999e-05 -0.00318038 0.00159696 -3.22 1.34 4.56
0.0497871 -1.6 4.53999e-05 -0.00248582 0.00103366 -1.12 1.72 2.84
0.000911882 -1.6 4.53999e-05 -0.00103622 0.000410951 0.62 2.66 2.04
148.413 -1.6 4.53999e-05 -0.00304197 0.00192165 -5.62 1.22 6.84
2.71828 -1.6 0.000335463 -0.0084954 0.00402505 -2.66 1.4 4.06
0.0497871 -1.6 0.000335463 -0.00577806 0.0023479 -0.66 1.9 2.56
148.413 -1.6 0.000335463 -0.00843742 0.00504815 -5 1.24 6.24
0.000911882 -1.6 0.000335463 -0.00207602 0.000821805 1.02 2.98 1.96
2.71828 -1.6 0.00247875 -0.0221475 0.0099561 -2.12 1.48 3.6
0.0497871 -1.6 0.00247875 -0.0128515 0.00515194 -0.22 2.12 2.34
148.413 -1.6 0.00247875 -0.0233004 0.0131747 -4.38 1.26 5.64
0.000911882 -1.6 0.00247875 -0.00406769 0.00160864 1.42 3.32 1.9
2.71828 -1.6 0.0183156 -0.055915 0.0240436 -1.6 1.6 3.2
0.0497871 -1.6 0.0183156 -0.0274454 0.0109209 0.2 2.38 2.18
148.413 -1.6 0.0183156 -0.0639573 0.0340826 -3.8 1.3 5.1
0.000911882 -1.6 0.0183156 -0.00784058 0.00309639 1.82 3.68 1.86
2.71828 -1.6 0.135335 -0.135734 0.0564302 -1.12 1.74 2.86
148.413 -1.6 0.135335 -0.173668 0.0871842 -3.22 1.34 4.56
0.0497871 -1.6 0.135335 -0.0565799 0.0224348 0.62 2.66 2.04
2.71828 -1.6 1 -0.315473 0.128191 -0.66 1.9 2.56
0.000911882 -1.6 0.135335 -0.0149296 0.0058881 2.22 4.04 1.82
2.71828 -1.6 7.38906 -0.701686 0.281288 -0.22 2.12 2.34
0.0497871 -1.6 1 -0.113348 0.0448692 1.02 2.98 1.96
148.413 -1.6 1 -0.463833 0.21976 -2.66 1.4 4.06
0.000911882 -1.6 1 -0.0281925 0.0110979 2.6 4.4 1.8
2.71828 -1.6 54.5982 -1.4986 0.596273 0.2 2.38 2.18
0.0497871 -1.6 7.38906 -0.222098 0.0878299 1.42 3.32 1.9
148.413 -1.6 7.38906 -1.20921 0.543583 -2.12 1.48 3.6
0.000911882 -1.6 7.38906 -0.0529026 0.0207898 2.98 4.78 1.8
2.71828 -1.6 403.429 -3.08994 1.22498 0.62 2.66 2.04
2.71828 -1.6 2980.96 -6.19371 2.45028 1.02 2.98 1.96
0.0497871 -1.6 54.5982 -0.428134 0.169063 1.82 3.68 1.86
148.413 -1.6 54.5982 -3.05287 1.31273 -1.6 1.6 3.2
0.000911882 -1.6 54.5982 -0.0989029 0.038768 3.38 5.16 1.78
0.0497871 -1.6 403.429 -0.815389 0.321511 2.22 4.04 1.82
148.413 -1.6 403.429 -7.41126 3.08101 -1.12 1.72 2.84
0.000911882 -1.6 403.429 -0.184357 0.0720855 3.76 5.54 1.78
0.0497871 -1.6 2980.96 -1.54076 0.606097 2.6 4.4 1.8
148.413 -1.6 2980.96 -17.2294 6.99939 -0.66 1.9 2.56
0.000911882 -1.6 2980.96 -0.343074 0.133776 4.14 5.92 1.78
2.71828 -1.4 4.53999e-05 -0.0029734 0.00168845 -1.04 1.3 2.34
0.0497871 -1.4 4.53999e-05 -0.00240966 0.00110147 -1.3 1.68 2.98
148.413 -1.4 4.53999e-05 -0.00300495 0.00200243 -1.12 1.2 2.32
0.000911882 -1.4 4.53999e-05 -0.000946282 0.000411201 0.6 2.68 2.08
2.71828 -1.4 0.000335463 -0.00802951 0.00427329 -3.04 1.36 4.4
148.413 -1.4 0.000335463 -0.00816532 0.00527653 -1.1 1.22 2.32
0.0497871 -1.4 0.000335463 -0.00558299 0.0024859 -0.8 1.86 2.66
0.000911882 -1.4 0.000335463 -0.00184049 0.000798702 1.04 3.04 2
2.71828 -1.4 0.00247875 -0.0211784 0.0106068 -2.42 1.44 3.86
148.413 -1.4 0.00247875 -0.0221743 0.0138186 -1.1 1.24 2.34
0.0497871 -1.4 0.00247875 -0.0122735 0.00538629 -0.3 2.1 2.4
0.000911882 -1.4 0.00247875 -0.00349254 0.00151432 1.48 3.4 1.92
2.71828 -1.4 0.0183156 -0.0539752 0.0256598 -1.84 1.54 3.38
0.0497871 -1.4 0.0183156 -0.0257112 0.0112018 0.16 2.36 2.2
148.413 -1.4 0.0183156 -0.0601204 0.035886 -1.08 1.26 2.34
0.000911882 -1.4 0.0183156 -0.0065098 0.0028192 1.9 3.8 1.9
2.71828 -1.4 0.135335 -0.131576 0.0601326 -1.3 1.68 2.98
0.0497871 -1.4 0.135335 -0.0516688 0.0224484 0.6 2.68 2.08
148.413 -1.4 0.135335 -0.162342 0.0921793 -1.04 1.3 2.34
0.000911882 -1.4 0.135335 -0.0119853 0.00518164 2.34 4.2 1.86
2.71828 -1.4 1 -0.304823 0.135726 -0.8 1.86 2.66
148.413 -1.4 1 -0.438396 0.233314 -3.04 1.36 4.4
0.0497871 -1.4 1 -0.100489 0.0436078 1.04 3.04 2
2.71828 -1.4 7.38906 -0.670124 0.294083 -0.3 2.1 2.4
0.000911882 -1.4 1 -0.0218765 0.00943918 2.76 4.6 1.84
2.71828 -1.4 54.5982 -1.40391 0.611606 0.16 2.36 2.2
148.413 -1.4 7.38906 -1.1563 0.579109 -2.42 1.44 3.86
0.0497871 -1.4 7.38906 -0.190695 0.08268 1.48 3.4 1.92
0.000911882 -1.4 7.38906 -0.0396969 0.0170918 3.18 5 1.82
2.71828 -1.4 403.429 -2.82189 1.22571 0.6 2.68 2.08
148.413 -1.4 54.5982 -2.94697 1.40098 -1.84 1.54 3.38
0.0497871 -1.4 54.5982 -0.355474 0.153928 1.9 3.8 1.9
2.71828 -1.4 2980.96 -5.4916 2.38136 1.04 3.04 2
0.000911882 -1.4 54.5982 -0.0717622 0.0308159 3.6 5.42 1.82
0.0497871 -1.4 403.429 -0.654611 0.282933 2.34 4.2 1.86
148.413 -1.4 403.429 -7.18426 3.28314 -1.3 1.68 2.98
0.000911882 -1.4 403.429 -0.129401 0.0554143 4.02 5.82 1.8
148.413 -1.4 2980.96 -16.649 7.41072 -0.8 1.86 2.66
0.0497871 -1.4 2980.96 -1.19562 0.515496 2.76 4.6 1.84
0.000911882 -1.4 2980.96 -0.233022 0.0994869 4.42 6.24 1.82
2.71828 -1.2 4.53999e-05 -0.00298063 0.00179267 -1.06 1.26 2.32
148.413 -1.2 4.53999e-05 -0.00300511 0.00209025 -1.12 1.18 2.3
0.0497871 -1.2 4.53999e-05 -0.00241667 0.0011875 -0.36 1.62 1.98
0.000911882 -1.2 4.53999e-05 -0.000882388 0.00041379 1.16 2.7 1.54
2.71828 -1.2 0.000335463 -0.00799736 0.00456195 -1 1.32 2.32
148.413 -1.2 0.000335463 -0.00816648 0.00552688 -1.12 1.2 2.32
0.0497871 -1.2 0.000335463 -0.00557582 0.00266635 -0.04 1.8 1.84
0.000911882 -1.2 0.000335463 -0.00165449 0.000776348 1.6 3.1 1.5
2.71828 -1.2 0.00247875 -0.021099 0.0113835 -0.86 1.38 2.24
148.413 -1.2 0.00247875 -0.0221825 0.0145312 -1.1 1.22 2.32
0.000911882 -1.2 0.00247875 -0.00301804 0.00141704 2.04 3.5 1.46
0.0497871 -1.2 0.00247875 -0.0120917 0.00570263 0.34 2.04 1.7
2.71828 -1.2 0.0183156 -0.0539865 0.027647 -0.66 1.48 2.14
148.413 -1.2 0.0183156 -0.0601793 0.0379081 -1.1 1.24 2.34
0.000911882 -1.2 0.0183156 -0.00540143 0.00253564 2.48 3.94 1.46
0.0497871 -1.2 0.0183156 -0.0247361 0.0116064 0.74 2.36 1.62
2.71828 -1.2 0.135335 -0.131946 0.0648292 -0.36 1.62 1.98
148.413 -1.2 0.135335 -0.162737 0.0978694 -1.06 1.26 2.32
0.000911882 -1.2 0.135335 -0.00954351 0.00447689 2.92 4.38 1.46
0.0497871 -1.2 0.135335 -0.048177 0.0225897 1.16 2.7 1.54
2.71828 -1.2 1 -0.304431 0.145578 -0.04 1.8 1.84
148.413 -1.2 1 -0.436641 0.249074 -1 1.32 2.32
2.71828 -1.2 7.38906 -0.660198 0.311354 0.34 2.04 1.7
0.000911882 -1.2 1 -0.0167203 0.00783404 3.38 4.82 1.44
0.0497871 -1.2 1 -0.0903335 0.0423873 1.6 3.1 1.5
2.71828 -1.2 54.5982 -1.35065 0.633698 0.74 2.36 1.62
148.413 -1.2 7.38906 -1.15197 0.621514 -0.86 1.38 2.24
0.000911882 -1.2 7.38906 -0.0291334 0.0136298 3.82 5.26 1.44
0.0497871 -1.2 7.38906 -0.164786 0.0773684 2.04 3.5 1.46
2.71828 -1.2 403.429 -2.63106 1.23342 1.16 2.7 1.54
148.413 -1.2 54.5982 -2.94762 1.50947 -0.66 1.48 2.14
2.71828 -1.2 2980.96 -4.93592 2.31464 1.6 3.1 1.5
0.000911882 -1.2 54.5982 -0.0505876 0.0236213 4.28 5.72 1.44
0.0497871 -1.2 54.5982 -0.294943 0.138445 2.48 3.94 1.46
148.413 -1.2 403.429 -7.20461 3.53955 -0.36 1.62 1.98
0.000911882 -1.2 403.429 -0.0876504 0.0408427 4.74 6.18 1.44
0.0497871 -1.2 403.429 -0.521232 0.24445 2.92 4.38 1.46
148.413 -1.2 2980.96 -16.6272 7.94852 -0.04 1.8 1.84
0.000911882 -1.2 2980.96 -0.151706 0.070523 5.18 6.62 1.44
0.0497871 -1.2 2980.96 -0.913741 0.427822 3.38 4.82 1.44
2.71828 -1 4.53999e-05 -0.00298656 0.00191171 -1.08 1.22 2.3
148.413 -1 4.53999e-05 -0.00300523 0.00218554 -1.12 1.16 2.28
0.000911882 -1 4.53999e-05 -0.000819158 0.000420349 1.16 2.74 1.58
0.0497871 -1 4.53999e-05 -0.00246133 0.00129906 -0.48 1.54 2.02
2.71828 -1 0.000335463 -0.00803504 0.00489909 -1.04 1.26 2.3
0.000911882 -1 0.000335463 -0.00146876 0.000756281 1.62 3.18 1.56
148.413 -1 0.000335463 -0.00816738 0.00580137 -1.12 1.18 2.3
0.0497871 -1 0.000335463 -0.00564631 0.00290951 -0.14 1.74 1.88
2.71828 -1 0.00247875 -0.0213017 0.0123171 -0.92 1.32 2.24
148.413 -1 0.00247875 -0.0221889 0.0153215 -1.1 1.18 2.28
0.000911882 -1 0.00247875 -0.00255489 0.00131852 2.1 3.64 1.54
0.0497871 -1 0.00247875 -0.0120278 0.00614495 0.26 2 1.74
2.71828 -1 0.0183156 -0.0548289 0.0301229 -0.74 1.4 2.14
148.413 -1 0.0183156 -0.0602261 0.0401794 -1.1 1.2 2.3
0.000911882 -1 0.0183156 -0.00435629 0.00224936 2.6 4.12 1.52
0.0497871 -1 0.0183156 -0.0238801 0.012206 0.7 2.34 1.64
2.71828 -1 0.135335 -0.134384 0.07092 -0.48 1.54 2.02
0.000911882 -1 0.135335 -0.00733302 0.00378486 3.1 4.6 1.5
148.413 -1 0.135335 -0.163061 0.104369 -1.08 1.22 2.3
0.0497871 -1 0.135335 -0.0447248 0.0229478 1.16 2.74 1.58
2.71828 -1 1 -0.30828 0.158854 -0.14 1.74 1.88
0.000911882 -1 1 -0.0122458 0.00631246 3.58 5.1 1.52
2.71828 -1 7.38906 -0.65671 0.335504 0.26 2 1.74
148.413 -1 1 -0.438699 0.267481 -1.04 1.26 2.3
0.0497871 -1 1 -0.0801931 0.0412916 1.62 3.18 1.56
2.71828 -1 54.5982 -1.30393 0.66643 0.7 2.34 1.64
0.000911882 -1 7.38906 -0.0203489 0.0104726 4.08 5.58 1.5
148.413 -1 7.38906 -1.16303 0.672488 -0.92 1.32 2.24
0.0497871 -1 7.38906 -0.139498 0.0719894 2.1 3.64 1.54
2.71828 -1 403.429 -2.44258 1.25295 1.16 2.74 1.58
0.000911882 -1 54.5982 -0.0337127 0.0173135 4.58 6.08 1.5
148.413 -1 54.5982 -2.9936 1.64465 -0.74 1.4 2.14
2.71828 -1 2980.96 -4.38214 2.25472 1.62 3.18 1.56
0.0497871 -1 54.5982 -0.237876 0.122814 2.6 4.12 1.52
0.000911882 -1 403.429 -0.0557574 0.0285689 5.08 6.58 1.5
148.413 -1 403.429 -7.33772 3.87207 -0.48 1.54 2.02
0.0497871 -1 403.429 -0.400514 0.20666 3.1 4.6 1.5
0.000911882 -1 2980.96 -0.0921507 0.047089 5.58 7.08 1.5
148.413 -1 2980.96 -16.8376 8.67313 -0.14 1.74 1.88
0.0497871 -1 2980.96 -0.669261 0.344711 3.58 5.1 1.52
2.71828 -0.8 4.53999e-05 -0.0029913 0.00204796 -1.1 1.2 2.3
148.413 -0.8 4.53999e-05 -0.00300532 0.00228698 -1.12 1.14 2.26
0.000911882 -0.8 4.53999e-05 -0.000755349 0.000433985 1.12 2.78 1.66
0.0497871 -0.8 4.53999e-05 -0.00251678 0.00144714 -0.6 1.46 2.06
2.71828 -0.8 0.000335463 -0.00806702 0.00529426 -1.06 1.22 2.28
0.000911882 -0.8 0.000335463 -0.00128234 0.0007418 1.64 3.26 1.62
148.413 -0.8 0.000335463 -0.00816807 0.00609964 -1.12 1.14 2.26
0.0497871 -0.8 0.000335463 -0.00575663 0.00324951 -0.26 1.66 1.92
2.71828 -0.8 0.00247875 -0.0214912 0.0134467 -1 1.26 2.26
0.000911882 -0.8 0.00247875 -0.00210509 0.00122242 2.18 3.78 1.6
148.413 -0.8 0.00247875 -0.0221939 0.0161947 -1.12 1.16 2.28
0.0497871 -0.8 0.00247875 -0.0120391 0.00679251 0.14 1.94 1.8
2.71828 -0.8 0.0183156 -0.055727 0.0332481 -0.84 1.34 2.18
0.0497871 -0.8 0.0183156 -0.023086 0.0131358 0.62 2.32 1.7
148.413 -0.8 0.0183156 -0.0602623 0.042731 -1.1 1.18 2.28
0.000911882 -0.8 0.0183156 -0.00338424 0.00196742 2.72 4.32 1.6
2.71828 -0.8 0.135335 -0.137412 0.079004 -0.6 1.46 2.06
148.413 -0.8 0.135335 -0.16332 0.111809 -1.1 1.2 2.3
0.0497871 -0.8 0.135335 -0.0412409 0.0236921 1.12 2.78 1.66
2.71828 -0.8 1 -0.314303 0.177417 -0.26 1.66 1.92
0.000911882 -0.8 0.135335 -0.00537243 0.00312187 3.26 4.88 1.62
2.71828 -0.8 7.38906 -0.657329 0.370858 0.14 1.94 1.8
148.413 -0.8 1 -0.440445 0.289057 -1.06 1.22 2.28
0.0497871 -0.8 1 -0.0700147 0.0405009 1.64 3.26 1.62
0.000911882 -0.8 1 -0.00846557 0.00491239 3.82 5.42 1.6
2.71828 -0.8 54.5982 -1.26057 0.717188 0.62 2.32 1.7
148.413 -0.8 7.38906 -1.17338 0.734165 -1 1.26 2.26
0.0497871 -0.8 7.38906 -0.11494 0.0667422 2.18 3.78 1.6
0.000911882 -0.8 7.38906 -0.0132817 0.00769247 4.38 5.98 1.6
2.71828 -0.8 403.429 -2.25237 1.29356 1.12 2.78 1.66
2.71828 -0.8 2980.96 -3.82627 2.21143 1.64 3.26 1.62
0.0497871 -0.8 54.5982 -0.184799 0.107419 2.72 4.32 1.6
148.413 -0.8 54.5982 -3.04263 1.81528 -0.84 1.34 2.18
0.000911882 -0.8 54.5982 -0.0207876 0.0120096 4.92 6.52 1.6
0.0497871 -0.8 403.429 -0.293439 0.170456 3.26 4.88 1.62
148.413 -0.8 403.429 -7.50301 4.3134 -0.6 1.46 2.06
0.000911882 -0.8 403.429 -0.0324932 0.0187232 5.48 7.08 1.6
0.0497871 -0.8 2980.96 -0.462704 0.268243 3.82 5.42 1.6
148.413 -0.8 2980.96 -17.1666 9.6863 -0.26 1.66 1.92
0.000911882 -0.8 2980.96 -0.0507697 0.0291655 6.04 7.64 1.6
2.71828 -0.6 4.53999e-05 -0.00299506 0.00220276 -1.1 1.16 2.26
0.0497871 -0.6 4.53999e-05 -0.00258373 0.0016487 -0.74 1.36 2.1
148.413 -0.6 4.53999e-05 -0.00300539 0.00237931 -1.12 1.12 2.24
0.000911882 -0.6 4.53999e-05 -0.000693546 0.000461869 1.02 2.82 1.8
2.71828 -0.6 0.000335463 -0.00809321 0.00575718 -1.08 1.18 2.26
0.0497871 -0.6 0.000335463 -0.00592368 0.00374719 -0.44 1.56 2
148.413 -0.6 0.000335463 -0.0081686 0.00639717 -1.12 1.14 2.26
0.000911882 -0.6 0.000335463 -0.00110031 0.000740898 1.6 3.38 1.78
2.71828 -0.6 0.00247875 -0.02166 0.0148194 -1.04 1.2 2.24
0.0497871 -0.6 0.00247875 -0.0121834 0.0078045 -0.02 1.86 1.88
148.413 -0.6 0.00247875 -0.0221978 0.0171175 -1.12 1.14 2.26
0.000911882 -0.6 0.00247875 -0.00168094 0.00113815 2.2 3.98 1.78
2.71828 -0.6 0.0183156 -0.0566399 0.037237 -0.94 1.26 2.2
0.0497871 -0.6 0.0183156 -0.0224536 0.0146865 0.46 2.3 1.84
148.413 -0.6 0.0183156 -0.0602902 0.0455398 -1.12 1.14 2.26
0.000911882 -0.6 0.0183156 -0.0025123 0.00170355 2.82 4.6 1.78
2.71828 -0.6 0.135335 -0.141067 0.0900085 -0.74 1.36 2.1
0.0497871 -0.6 0.135335 -0.0378666 0.0252143 1.02 2.82 1.8
148.413 -0.6 0.135335 -0.163525 0.120263 -1.1 1.16 2.26
2.71828 -0.6 1 -0.323424 0.204589 -0.44 1.56 2
0.000911882 -0.6 0.135335 -0.00370913 0.00251355 3.44 5.2 1.76
2.71828 -0.6 7.38906 -0.665209 0.426109 -0.02 1.86 1.88
0.0497871 -0.6 1 -0.0600758 0.0404517 1.6 3.38 1.78
148.413 -0.6 1 -0.441874 0.314331 -1.08 1.18 2.26
0.000911882 -0.6 1 -0.00543954 0.00367942 4.06 5.84 1.78
2.71828 -0.6 54.5982 -1.22605 0.801849 0.48 2.3 1.82
0.0497871 -0.6 7.38906 -0.091781 0.0621412 2.2 3.98 1.78
148.413 -0.6 7.38906 -1.1826 0.809111 -1.04 1.2 2.24
0.000911882 -0.6 7.38906 -0.00794845 0.0053639 4.68 6.46 1.78
2.71828 -0.6 403.429 -2.06815 1.37664 1.02 2.82 1.8
2.71828 -0.6 2980.96 -3.28342 2.20861 1.6 3.38 1.78
0.0497871 -0.6 54.5982 -0.137188 0.0930115 2.82 4.6 1.78
148.413 -0.6 54.5982 -3.09247 2.03306 -0.94 1.26 2.2
0.000911882 -0.6 54.5982 -0.0115925 0.00780036 5.3 7.08 1.78
0.0497871 -0.6 403.429 -0.202598 0.137239 3.44 5.2 1.76
148.413 -0.6 403.429 -7.70251 4.91417 -0.74 1.36 2.1
0.000911882 -0.6 403.429 -0.0168921 0.0113314 5.92 7.7 1.78
0.0497871 -0.6 2980.96 -0.297337 0.200905 4.06 5.84 1.78
148.413 -0.6 2980.96 -17.6645 11.1692 -0.44 1.56 2
0.000911882 -0.6 2980.96 -0.0246123 0.0164518 6.56 8.34 1.78
2.71828 -0.4 4.53999e-05 -0.00299796 0.00235524 -1.1 1.14 2.24
0.0497871 -0.4 4.53999e-05 -0.00266059 0.00192871 -0.9 1.28 2.18
148.413 -0.4 4.53999e-05 -0.00300545 0.00241059 -1.12 1.12 2.24
0.000911882 -0.4 4.53999e-05 -0.000639491 0.000524267 0.8 2.86 2.06
2.71828 -0.4 0.000335463 -0.00811416 0.00626397 -1.1 1.14 2.24
0.0497871 -0.4 0.000335463 -0.00616877 0.00451705 -0.68 1.44 2.12
148.413 -0.4 0.000335463 -0.008169 0.00654574 -1.12 1.12 2.24
0.000911882 -0.4 0.000335463 -0.000931625 0.000777591 1.46 3.52 2.06
2.71828 -0.4 0.00247875 -0.021803 0.016443 -1.08 1.16 2.24
0.0497871 -0.4 0.00247875 -0.0125661 0.00954776 -0.3 1.78 2.08
148.413 -0.4 0.00247875 -0.0222008 0.0177397 -1.12 1.12 2.24
0.000911882 -0.4 0.00247875 -0.00129905 0.00109299 2.14 4.22 2.08
2.71828 -0.4 0.0183156 -0.0575109 0.0423129 -1.02 1.2 2.22
0.0497871 -0.4 0.0183156 -0.0222017 0.0176197 0.2 2.26 2.06
148.413 -0.4 0.0183156 -0.0603123 0.0479128 -1.12 1.12 2.24
0.000911882 -0.4 0.0183156 -0.00176977 0.0014919 2.84 4.92 2.08
2.71828 -0.4 0.135335 -0.145263 0.105297 -0.9 1.28 2.18
0.0497871 -0.4 0.135335 -0.0349153 0.0286206 0.8 2.86 2.06
2.71828 -0.4 1 -0.336806 0.246622 -0.68 1.44 2.12
0.000911882 -0.4 0.135335 -0.00238268 0.00200654 3.54 5.62 2.08
148.413 -0.4 0.135335 -0.163683 0.128597 -1.1 1.14 2.24
2.71828 -0.4 7.38906 -0.686107 0.521285 -0.3 1.78 2.08
0.0497871 -0.4 1 -0.0508661 0.042455 1.46 3.52 2.06
0.000911882 -0.4 1 -0.00318897 0.0026791 4.26 6.34 2.08
148.413 -0.4 1 -0.443018 0.342001 -1.1 1.14 2.24
2.71828 -0.4 54.5982 -1.21231 0.961984 0.2 2.26 2.06
0.0497871 -0.4 7.38906 -0.0709299 0.0596751 2.14 4.22 2.08
0.000911882 -0.4 7.38906 -0.00425576 0.00356459 4.96 7.06 2.1
148.413 -0.4 7.38906 -1.1904 0.897756 -1.08 1.16 2.24
2.71828 -0.4 403.429 -1.90702 1.56258 0.8 2.86 2.06
