#k  alpha  peak_neg  peak_pos  theta_neg  theta_pos  peak_separation
0.0497871 -1.2 -0.350779 0.164622 2.62 4.06 1.44
2.71828 -1.2 -1.6603 0.778592 0.86 2.46 1.6
0.000911882 -1.2 -0.0597517 0.0278836 4.42 5.86 1.44
148.413 -1.2 -3.88418 1.96155 -0.58 1.52 2.1
0.0497871 -1 -0.27879 0.143932 2.74 4.26 1.52
2.71828 -1 -1.58527 0.811035 0.84 2.46 1.62
0.000911882 -1 -0.0392614 0.0201497 4.74 6.24 1.5
148.413 -1 -3.95038 2.14082 -0.68 1.44 2.12
0.0497871 -0.8 -0.212769 0.123669 2.88 4.5 1.62
2.71828 -0.8 -1.51247 0.863078 0.76 2.46 1.7
148.413 -0.8 -4.02426 2.37034 -0.78 1.36 2.14
0.000911882 -0.8 -0.0237978 0.0137388 5.1 6.7 1.6
0.0497871 -0.6 -0.154514 0.104754 3 4.78 1.78
148.413 -0.6 -4.10304 2.66865 -0.9 1.28 2.18
2.71828 -0.6 -1.44784 0.952569 0.64 2.44 1.8
0.000911882 -0.6 -0.0129917 0.0087339 5.48 7.26 1.78
0.0497871 -0.4 -0.105842 0.0891975 3.06 5.14 2.08
148.413 -0.4 -4.18207 3.05763 -1 1.22 2.22
2.71828 -0.4 -1.40501 1.12758 0.38 2.44 2.06
0.000911882 -0.4 -0.00618582 0.00515722 5.9 7.98 2.08
0.0497871 -0.2 -0.068608 0.0842391 2.84 5.58 2.74
2.71828 -0.2 -1.41942 1.56419 -0.16 2.4 2.56
148.413 -0.2 -4.25538 3.46625 -1.08 1.16 2.24
0.000911882 -0.2 -0.00247795 0.00300729 6.14 8.9 2.76
0.0497871 0 -0.0489595 0.14648 -2.6 6.14 8.74
2.71828 0 -1.622 2.72552 -1.7 2.4 4.1
148.413 0 -4.3183 3.57584 -1.14 1.16 2.3
0.000911882 0 -0.000911207 0.00303362 -2.76 10.12 12.88
0.0497871 0.2 -1.58646 0.874516 -20 7.34 27.34
2.71828 0.2 -2.53692 3.1752 -5.66 2.66 8.32
148.413 0.2 -4.36902 3.57347 -1.18 1.18 2.36
0.000911882 0.2 -0.0492296 0.0216388 -20 12.34 32.34
0.0497871 0.4 -3.13303 1.74489 -14.06 9.5 23.56
2.71828 0.4 -3.37689 2.93244 -4.1 3.08 7.18
148.413 0.4 -4.40852 3.5578 -1.18 1.18 2.36
0.000911882 0.4 -1.83137 0.360219 -20 16.2 36.2
0.0497871 0.6 -3.83637 1.56313 -9.72 13.66 23.38
148.413 0.6 -4.43881 3.53482 -1.18 1.18 2.36
2.71828 0.6 -3.98744 2.47327 -3.26 3.66 6.92
0.000911882 0.6 -3.83593 0.583699 -16.38 20 36.38
0.0497871 0.8 -4.42877 0.791644 -7.48 20 27.48
148.413 0.8 -4.46228 3.5038 -1.16 1.18 2.34
0.000911882 0.8 -4.42849 0.0202546 -12.46 20 32.46
2.71828 0.8 -4.45203 1.82755 -2.74 4.06 6.8
0.0497871 1 -4.94696 0.0335414 -6.1 2.78 8.88
0.000911882 1 -4.95021 0.000627357 -10.08 2.9 12.98
148.413 1 -4.48111 3.46323 -1.16 1.16 2.32
2.71828 1 -4.81491 1.26027 -2.38 1.74 4.12
148.413 1.2 -4.49729 3.41219 -1.14 1.1 2.24
0.000911882 1.2 -5.42124 0.000535548 -8.48 0.84 9.32
0.0497871 1.2 -5.40676 0.0275276 -5.16 0.42 5.58
2.71828 1.2 -5.10368 1.06084 -2.1 0.58 2.68
148.413 1.4 -4.51263 3.35144 -1.12 1.04 2.16
0.000911882 1.4 -5.85275 0.000544318 -7.32 0.2 7.52
0.0497871 1.4 -5.81616 0.0285028 -4.48 -0.24 4.24
2.71828 1.4 -5.33761 0.998859 -1.88 0.06 1.94
148.413 1.6 -4.52859 3.28394 -1.1 0.94 2.04
0.000911882 1.6 -6.25163 0.000595108 -6.46 -0.18 6.28
0.0497871 1.6 -6.18051 0.0326537 -3.98 -0.62 3.36
2.71828 1.6 -5.53112 0.991452 -1.7 -0.22 1.48
148.413 1.8 -4.54588 3.21427 -1.08 0.84 1.92
0.000911882 1.8 -6.62167 0.000682784 -5.78 -0.46 5.32
0.0497871 1.8 -6.50495 0.0397466 -3.56 -0.9 2.66
2.71828 1.8 -5.69483 1.01037 -1.54 -0.4 1.14
403.429 -2 -4.6408 1.73652 -1.56 1.6 3.16
0.00247875 -2 -0.284106 0.0956512 2.78 4.52 1.74
0.135335 -2 -0.970047 0.328731 1.42 3.28 1.86
7.38906 -2 -2.64956 0.911564 3.37681e-13 2.24 2.24
403.429 -1.8 -4.51405 1.82728 -1.74 1.56 3.3
0.00247875 -1.8 -0.225647 0.0816952 2.94 4.7 1.76
7.38906 -1.8 -2.52991 0.934 -0.04 2.22 2.26
0.135335 -1.8 -0.852315 0.310531 1.48 3.34 1.86
403.429 -1.6 -4.36692 1.93458 -1.96 1.52 3.48
0.00247875 -1.6 -0.173874 0.0682625 3.1 4.9 1.8
